year,informal_employment_share,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,16.419019348202436,16.302982646880924,16.535718773656363,11482429.123202916,69933708.46146192,389298.2769400536,503381
2011,18.23673904270014,18.11483423117345,18.35928028742465,12921935.627977667,70856613.11335209,383437.058220744,505437
2012,19.00862773457219,18.885296477030707,19.132574437354172,13599801.76266,71545415.86358275,386877.3057835537,511573
2013,19.747392506613792,19.621275583564962,19.874119622090664,14114432.99992375,71474920.01891667,380905.98489949695,506432
2014,20.114481869202542,19.986224226930176,20.243354344662507,14419632.333608083,71687813.92120326,373443.7522930809,500359
2015,20.516593288658605,20.387890008102694,20.64589833992313,14873562.351399668,72495282.92604817,376416.2506266145,508320
2016,21.22372322269387,21.093094147860274,21.354942341722644,15426293.719776416,72684201.34353033,374689.7260928656,507511
2017,19.798128179166227,19.67304278778071,19.923811623845555,14388799.88689425,72677577.1763905,387985.8180176219,520515
2018,20.094056003380143,19.967479790882166,20.221231865554035,14659957.2412795,72956685.49352834,383161.38641021395,518317
2019,20.56105455202473,20.42985767450369,20.69287484730232,14884652.014220333,72392454.27105092,362797.81272564805,496704
2020,19.99193668648037,19.861279044820062,20.123238027853407,14217401.282398084,71115677.8123085,358159.2498927136,491874
2021,20.306506320893412,20.175612700362368,20.438031714784678,14681174.912992584,72297886.603404,361095.0601158564,498448
2022,18.558305329746876,18.431340370490094,18.68594453565027,13481483.667199241,72643937.1896201,358268.53834536613,499379
2023,18.257061697024422,18.131563230041596,18.383233757072745,13443799.414087975,73636161.37792356,362052.11364534317,504748
