year,gender,informal_employment_share,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,female,14.718837356591594,14.56249127966173,14.87656972346775,5058484.1784085,34367416.77251525,195526.87533423532,251904
2010,male,18.061891301394397,17.891313344969543,18.23373441671986,6423944.944794416,35566291.688946664,193946.38774638198,251477
2011,female,16.818185210403467,16.651638402476614,16.98605831304517,5856801.21820475,34824216.435563,192210.71490345753,252394
2011,male,19.607728214559682,19.430456296359182,19.786220274900618,7065134.409772917,36032396.677789085,191368.38750081605,253043
2012,female,17.59463045063318,17.42569343787953,17.76485290683952,6171304.008744583,35074928.263256,193678.56819191886,255082
2012,male,20.368517787102096,20.189597395729752,20.548615533013237,7428497.753915417,36470487.60032675,193358.6758885694,256491
2013,female,18.180012328063526,18.00755920000558,18.35374729884203,6355387.3650699165,34958102.615032,190714.05295429027,252568
2013,male,21.247869300976994,21.064704477480735,21.43219436705568,7759045.634853833,36516817.403884664,190387.59522833372,253864
2014,female,18.483625029884678,18.30859715714491,18.659943944607264,6474755.4518985,35029684.06592317,187548.319101679,249523
2014,male,21.672891969870186,21.486313031182757,21.860639980502672,7944876.881709583,36658129.85528009,186156.50473294276,250836
2015,female,18.72640467752847,18.55099988420821,18.90308305838177,6610194.151886,35298789.4137425,188654.1431547231,253352
2015,male,22.215449412670868,22.028137066639015,22.403896878312647,8263368.199513667,37196493.51230567,188052.47612921894,254968
2016,female,19.414035573196557,19.235992104045224,19.593327181355995,6867194.169977,35372316.817313336,188268.01299533967,252707
2016,male,22.939338654378098,22.749220133597547,23.13057028734466,8559099.549799416,37311884.526217,186774.1267023911,254804
2017,female,18.017216087272967,17.846398331413305,18.189306837406665,6371850.540843584,35365344.5125995,193022.23866990794,258619
2017,male,21.48611533994473,21.30444459367941,21.668908692351582,8016949.346050667,37312232.663791,195140.13591223164,261896
2018,female,18.414767605853648,18.24131168153921,18.589497894497985,6548723.938093667,35562349.07907267,190417.95039162805,257685
2018,male,21.691074320148235,21.507708638790536,21.87556761352336,8111233.303185834,37394336.41445567,192877.3456459207,260632
2019,female,18.87232467030526,18.692687388817433,19.05328373144278,6672165.600163166,35354232.80769175,180927.50060009185,247301
2019,male,22.173004236128182,21.982753690270368,22.364429317799868,8212486.414057166,37038221.46335917,182019.14510113193,249403
2020,female,18.304469578188424,18.126408856782795,18.48388455128715,6365057.172117583,34773240.191030584,179810.70193241115,246111
2020,male,21.6065421700912,21.4162730616263,21.79803279407216,7852344.110280501,36342437.62127791,178581.3628986169,245763
2021,female,18.703849171529914,18.5242902905878,18.884745127243416,6595661.454041667,35263658.26388967,179825.85427158693,247897
2021,male,21.83254200634696,21.64304189338419,22.023234984961242,8085513.458950917,37034228.33951434,181414.96262643204,250551
2022,female,17.058599539077154,16.885395919816446,17.23321143540758,6066468.328641626,35562522.67218539,179709.42106295054,249486
2022,male,19.996581670505773,19.811811183991527,20.182641659020586,7415015.338557616,37081414.51743471,178758.03086354857,249893
2023,female,17.00907540990275,16.83690682766108,17.18264077904226,6114137.719808547,35946326.13745055,181460.17207890935,251390
2023,male,19.447316889325414,19.265540412573927,19.630391457707873,7329661.694279428,37689835.240473,180826.03407818908,253358
