year,settlement_type,informal_employment_share,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,rural,28.502904915576977,28.248343080301325,28.758841291418662,4663551.043464917,16361669.300999084,120152.96958356193,171193
2010,urban,12.728427341198653,12.60498124951736,12.852904596331365,6818878.079738,53572039.160462834,277696.4811311973,332188
2011,rural,31.08536448137117,30.8257205302225,31.346204381851294,5157786.060305834,16592329.369008334,121505.9776310612,174760
2011,urban,14.308029208035261,14.176929319772622,14.440137449796644,7764149.567671834,54264283.74434375,271942.9236345716,330677
2012,rural,32.27112421399408,32.00868312703588,32.53468742235096,5344383.4377775835,16560883.972737584,121381.85949829895,175740
2012,urban,15.0140740331681,14.881190644625969,15.147932850303004,8255418.324882417,54984531.890845165,275561.16637656477,335833
2013,rural,32.29742119930303,32.03394709212609,32.56202413003946,5389747.78650275,16687857.997217,120482.175885718,175639
2013,urban,15.924718156935281,15.787287650854775,16.06311681690994,8724685.213421,54787062.02169967,270405.2180800432,330793
2014,rural,32.68850734211892,32.42180347243563,32.95633520913345,5437139.854078417,16633184.85966075,118326.30812615305,174127
2014,urban,16.315598947163256,16.175490170691003,16.45668306073939,8982492.479529666,55054629.0615425,265334.6533619739,326232
2015,rural,33.005257691794824,32.73878353928506,33.272827851734974,5592667.676834334,16944778.09886842,119127.83764576146,176648
2015,urban,16.707129311315235,16.56614579027582,16.849070352488468,9280894.674565334,55550504.82717975,267130.3675383461,331672
2016,rural,33.9575501164637,33.68805511387547,34.228088205481896,5723050.032862667,16853542.182031415,118157.81579157965,175703
2016,urban,17.379776331935467,17.236382075117625,17.52411093675454,9703243.68691375,55830659.16149892,266512.90719086834,331808
2017,rural,29.907131792745716,29.647984823612312,30.167572595685428,4980270.017850667,16652449.497208834,119309.66763649868,176927
2017,urban,16.79341084757526,16.654920831950577,16.932818482747187,9408529.869043583,56025127.679181665,278023.6813596238,343588
2018,rural,30.202689870818496,29.938586430501896,30.46810992878019,5039374.278678333,16685183.671495834,115520.28493406883,175527
2018,urban,17.096723298816116,16.95667347149065,17.23768973248104,9620582.962601166,56271501.822032504,275788.6707073556,342790
2019,rural,30.042751534343942,29.77091209039789,30.316001666667997,4929654.802747167,16408799.297600083,108687.70140889316,167360
2019,urban,17.78197085594739,17.636000668047917,17.928886221394006,9954997.211473167,55983654.97345083,261881.83835689086,329344
2020,rural,29.275960962482323,29.00844037264883,29.54492191756329,4711534.57125025,16093526.62168175,110538.31817837182,166529
2020,urban,17.276435954338325,17.13078167610553,17.42306828057732,9505866.711147834,55022151.19062675,257051.4829258051,325345
2021,rural,29.31865968688836,29.05195159575196,29.58679519318733,4795696.20401725,16357146.7974095,111311.37958153531,168726
2021,urban,17.67134067811528,17.524990214105735,17.81864926079338,9885478.708975334,55940739.8059945,259231.7158673765,329722
2022,rural,27.70056527106299,27.435253668140135,27.967453709236555,4592407.550694963,16578750.309808144,108647.15451275301,169128
2022,urban,15.854894295741786,15.714368522902115,15.996438222573342,8889076.116504278,56065186.87981196,257652.69878239342,330251
2023,rural,26.917026611507495,26.656022021217566,27.179639783428073,4505870.227704769,16739851.294639029,110245.20035730404,170448
2023,urban,15.709154378025413,15.569879342948239,15.849441378536627,8937929.186383206,56896310.08328453,260334.8360360795,334300
