year,month,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,1,9.020846423968031,8.722522801043594,9.328330437308836,6730712.707148,74612873.236205,34365.81394101469,44721
2010,2,8.464000882079565,8.175662310506453,8.761538256259927,6305837.391524,74501851.776446,34687.37586596016,45189
2010,3,8.53127158403112,8.240012768072651,8.831834597499876,6380112.829977,74785016.127248,34238.85650206596,45170
2010,4,8.058841877316764,7.774930561931062,8.35218166848538,6046506.712035,75029474.508665,34172.46349865371,44917
2010,5,7.216144902472821,6.951034479904358,7.490552592654856,5466347.601273,75751632.972334,35351.15193898091,45971
2010,6,6.6568114843059165,6.403694253013962,6.919193995811934,5074329.729028,76227631.516849,35937.01947443647,46402
2010,7,6.8421218351525095,6.582888090905413,7.110787123069142,5214710.24204,76214811.248297,35152.48449752033,45699
2010,8,6.722510308311317,6.467917597981226,6.986375850285414,5135473.909628,76392205.799652,35853.316504580114,46295
2010,9,6.463215918417808,6.212839160520897,6.722959538785147,4923902.086145,76183468.853542,35706.03765233309,45917
2010,10,6.650917820206454,6.3967497994127305,6.91443891926931,5033332.121074,75678759.791348,35604.48113121814,45738
2010,11,6.551290246316421,6.296727120797703,6.815396275507697,4935499.645381,75336299.565663,34976.37736305111,45537
2010,12,7.042374585423172,6.777906793411454,7.316351782050207,5283222.030537,75020463.147084,34702.842238103796,45178
2011,1,7.626429602477297,7.347542726686903,7.914997752712277,5716073.980812,74950852.217337,33623.203554630134,44581
2011,2,7.439040334906425,7.16263744817897,7.7252219166089,5590436.689,75149971.465645,33435.42100724631,44773
2011,3,6.987899573744076,6.721234992728658,7.2643201188864746,5238020.139165,74958434.703985,33868.61039287339,45103
2011,4,7.054208480702073,6.78528790490259,7.332948712540308,5300722.193075,75142692.586645,33597.02785726936,44680
2011,5,6.206827821772638,5.9549885614503,6.468584928887299,4711807.006156,75913286.810175,33920.793811898795,45308
2011,6,5.952604521176523,5.7086646724011825,6.2062821823127425,4527495.714813,76059071.263786,34748.57512511607,45763
2011,7,6.382374864674169,6.129067673168857,6.645409821198321,4892434.963983,76655399.717465,34445.03975681521,45632
2011,8,6.017540919307368,5.772564814994259,6.272221293127596,4618541.384095,76751308.317262,34817.286554463106,45875
2011,9,5.959837008658711,5.716669644412792,6.212666301757904,4567349.852564,76635482.57994899,35015.764906959426,46056
2011,10,6.204447818046624,5.954156712134165,6.464537035672134,4699967.525831,75751584.406277,34337.226527255676,45224
2011,11,6.1702012794611205,5.92168400943619,6.4284354937766395,4676056.890154,75784511.369496,34651.1615686828,45552
2011,12,5.992270956749438,5.746279612759215,6.248094820511875,4529890.72581,75595558.987661,34382.84330323006,45385
2012,1,6.344814995666273,6.0866135861706505,6.6131983130725756,4750655.538985,74874610.878802,32936.860220087445,44513
2012,2,6.230921906424591,5.979419744785881,6.49227211273373,4658020.845217001,74756527.447635,34142.45189037288,44846
2012,3,6.28960368229418,6.0345959239862665,6.554635774956252,4698570.397485,74703759.327665,33496.973968593746,44883
2012,4,5.589201486682978,5.348567983877109,5.839993180683645,4204512.574535,75225639.736782,33585.25927998057,45001
2012,5,5.230118600954381,5.0010196072256,5.469108517773383,3993411.478734,76354128.527894,34771.8117806406,45772
2012,6,5.209399261069102,4.981402081118788,5.447233560006952,3981125.309694,76421965.569922,34978.19922011234,46263
2012,7,5.18557956919667,4.957117410563006,5.423970131264257,3963871.141099,76440272.26281801,34674.997249535656,46134
2012,8,4.978266740353892,4.754825053075734,5.211633991978294,3811820.463792,76569229.06306599,34845.387929053875,46004
2012,9,5.042582657190056,4.817630718842578,5.277455993894533,3843920.341117,76229198.457185,34810.216236044755,45680
2012,10,5.144485641123174,4.915756073430419,5.383255422717361,3888484.9240659997,75585494.747674,34320.250235302505,45136
2012,11,5.223892326026937,4.992288335326459,5.465622849660721,3948594.8216560003,75587216.872426,33967.42489924777,45236
2012,12,5.075219036976244,4.846191404904937,5.3144658383208965,3824932.097743,75364867.405247,33771.25150265675,45095
2013,1,5.95155182489753,5.703377647207679,6.209813787006489,4481428.219466,75298482.669991,33543.723150035294,44971
2013,2,5.754842400039331,5.5106840461906295,6.009130556523528,4340719.200203,75427247.150562,33553.76218881481,45134
2013,3,5.6497015688802605,5.409795632734368,5.899582958865233,4254313.396906,75301559.649445,34153.97188119757,45268
2013,4,5.55167620141562,5.3124769442128805,5.800985800160468,4185597.701364,75393404.613488,33772.743597185814,44933
2013,5,5.1652883111142325,4.93322145018337,5.407651002335094,3907266.999954,75644702.95969099,33452.55668282448,44940
2013,6,5.4122101605266915,5.176467248601365,5.658048493994381,4091884.679037,75604689.353726,33928.79975984631,44933
2013,7,5.289196663288133,5.055017693370059,5.533591940160553,4014848.127022,75906576.794331,33619.79781233027,44843
2013,8,5.1841677943247815,4.953578104458326,5.424878809891304,3963431.926384,76452616.574696,34015.0566647905,45026
2013,9,5.2668561524304005,5.032806178103589,5.511158939590929,3994613.518592,75844363.37318,33516.819221831,44922
2013,10,5.473213002888119,5.235375539256195,5.721202856319127,4147199.249784,75772663.106581,33692.22854091255,44915
2013,11,5.445004859120554,5.207169597728621,5.693050735560095,4114399.4402860003,75562824.03300801,33521.30434128858,44757
2013,12,5.5760714784458205,5.3327972148572,5.829760130350346,4191954.8881510003,75177567.29545,32768.643471164374,44017
2014,1,5.597309955552696,5.3536469648252645,5.851377271539892,4185651.961889,74779706.593463,32784.65776148057,44116
2014,2,5.616321718178081,5.372765663973287,5.870233638589373,4233884.373759,75385360.494136,32923.98302843247,44003
2014,3,5.3531550215259465,5.115803620693131,5.600868485142881,4027650.050806,75238808.41504,33099.416074333065,44120
2014,4,5.31488845586471,5.075319304482104,5.565102967952678,3991956.993925,75108951.525033,32246.078604192433,43664
2014,5,4.9096471131276385,4.680901811304426,5.148966860661805,3706062.2969049998,75485309.056033,32756.785161266384,44080
2014,6,4.875710787568144,4.649478807532981,5.11236044451195,3692690.405154,75736452.920248,33274.806044417535,44484
2014,7,4.868946872475281,4.642676962272732,5.105654038631072,3701328.036717,76019068.058455,33217.35823209184,44574
2014,8,4.814378373133547,4.589632852052607,5.049546798352819,3667835.514951,76185028.06965101,33303.32561541239,44588
2014,9,4.914828206502093,4.686947397488106,5.153189618985703,3725632.4620620003,75803920.412379,33046.322373943985,44318
2014,10,5.100977473041931,4.868050866433238,5.344423037202599,3876922.947653,76003530.071287,32789.854166335936,44218
2014,11,5.213343709392107,4.9768458935938105,5.460434011422666,3945869.679337,75687886.686395,32480.712607993213,43988
2014,12,5.265500100027051,5.0286232852469785,5.512887450059855,3978269.567692,75553499.04316899,32695.87080091423,44197
2015,1,5.486780146234482,5.246624568750905,5.737262845548137,4175163.4908930003,76094966.07511,33112.007053149326,44651
2015,2,5.797196814300527,5.548075924091529,6.056786469859207,4404201.601179,75971227.858173,32436.134512609777,44273
2015,3,5.908567246375076,5.659944405031164,6.1673973128100394,4508943.721794,76311964.200124,33183.51783962814,44779
2015,4,5.795489157975998,5.54755418289934,6.053794794737486,4417144.776335,76216944.867474,32744.27302976027,44280
2015,5,5.560060206671612,5.319988952890788,5.8103001516322195,4292667.737692,77205418.253226,33572.593441593104,45583
2015,6,5.332755330899598,5.097407015789523,5.57833102224157,4086326.054278,76626917.994917,33550.684577890264,45395
2015,7,5.26094762423392,5.028037243239671,5.504021691130404,4070453.506348,77371108.725697,33815.233438131494,45832
2015,8,5.244212674530884,5.011973303519544,5.486591721519331,4069386.1023879997,77597655.834048,33907.99445915317,45850
2015,9,5.243500921921185,5.010770264159865,5.486416673218676,4044758.390641,77138508.238481,33757.3110639871,45636
2015,10,5.5416322605784885,5.300338853249046,5.7932383585164695,4265866.613803,76978522.089044,33117.48359380675,45061
2015,11,5.781946995442135,5.535129781276827,6.039066452097779,4438509.918535,76764970.727574,32971.858716678864,44842
2015,12,5.763249083108694,5.517545560432493,6.019197054631965,4430137.510746,76868749.673342,33171.91246320729,44980
2016,1,5.83541988581217,5.587264107446533,6.09388599038376,4438157.212221,76055490.420006,32906.15817706994,45032
2016,2,5.8168168401880775,5.567769402794431,6.07628741428158,4434992.802931,76244326.14570001,32563.682802461022,44595
