year,age_5group,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,15-19,31.805286581380283,30.683890525396563,32.948185285989304,327314.32365275,1029119.24033525,6497.147658372516,8747
2010,20-24,14.943309526170776,14.606622524725834,15.286368004978259,1150927.6681659168,7701959.637189167,42268.56262656095,54950
2010,25-29,8.028705460627252,7.800475700451659,8.263014410371522,832407.8903670834,10367896.723191667,53039.742000084574,68473
2010,30-34,6.709864202386144,6.489403315012137,6.937259055137791,647913.5230543333,9656134.662515584,47962.153452277314,62196
2010,35-39,5.77282362680807,5.572474441111852,5.97991987215242,534206.9291865,9253823.842906415,50357.91185402836,64866
2010,40-44,5.575306812109307,5.378125152044957,5.779276315921839,473315.8128158334,8489502.529041333,50278.88036988324,64523
2010,45-49,5.713755066167405,5.530008022651697,5.903226007430551,580782.9846701666,10164646.155540166,59439.493744934865,76444
2010,50-54,5.792421003857412,5.605040120930382,5.985668952295416,557863.0775385833,9630913.864290584,57885.94823541425,74755
2010,55-59,5.1435652792473165,4.919752123399979,5.376984509310377,314708.85473175003,6118496.366742,35872.23922789621,46899
2010,60-64,4.236087081306941,3.9140791918600897,4.583322637527367,94268.21882225,2225360.740062167,13933.252964444931,18102
2010,65-69,4.179915953003209,3.5751878810529223,4.881752695966903,23500.986204416666,562235.8551858333,3621.2924080196904,4514
2010,70-74,2.5038533114965396,1.8730957992636001,3.339786603533964,6955.31460625,277784.4282775833,1774.677348997631,2265
2011,15-19,30.78507678426788,29.57253777188181,32.0247253887347,268208.4662515,871228.836397,5441.709773095416,7586
2011,20-24,13.400332307090434,13.069116178478238,13.738615968677973,1009164.2585406667,7530889.797461917,39782.63475117575,53120
2011,25-29,7.101418599796064,6.884823674909339,7.324291569434473,747378.7269656666,10524358.147076834,52494.393400329616,69489
2011,30-34,5.999909368225601,5.7886132681475955,6.218409125614416,591442.96486,9857531.648597417,46923.58136989793,62090
2011,35-39,5.142304541632262,4.951548841389898,5.339996133760377,479860.4837265,9331623.20203975,49685.223115147564,64920
2011,40-44,4.780514768636062,4.5949310154902765,4.97320330697659,408462.1625378333,8544313.370134667,48895.255599818345,64197
2011,45-49,4.978705744513899,4.8004687566962465,5.163201588815208,479504.32424925,9631103.92249275,55261.02949272885,72191
2011,50-54,5.314628567227652,5.134254472199587,5.500972023685953,522675.8872059167,9834664.466092084,57508.84771324729,75384
2011,55-59,4.65818742104873,4.448629178073258,4.877113308006271,294157.01410225,6314838.530821167,37183.46117801101,48552
