year,gender,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,female,6.805917805064862,6.699017610193985,6.914397450231323,2509835.4768588333,36877252.249374084,210105.06606840706,271589
2010,male,7.860832198508796,7.746708202493437,7.9764920944029445,3034330.106957,38600621.79590367,210785.78107266265,275145
2011,female,6.039249927943999,5.936952032910586,6.143195369772742,2238297.8683960834,37062514.30395909,204995.99418428462,269998
2011,male,6.932708242102624,6.823811653084416,7.043211276781472,2684101.88705875,38716498.564847834,205967.92821912488,273934
2012,female,5.0890709451948375,4.994630573725411,5.185199570413943,1880698.0408574166,36955626.30411342,204377.14640635002,270089
2012,male,5.810784687600788,5.710586156640138,5.912631067027578,2249961.953652833,38720449.55397958,206023.65976987703,274474
2013,female,5.1493867866139365,5.053687284263047,5.246798364739968,1897855.8555648334,36855958.470596835,201262.69854324052,267372
2013,male,5.786391697379808,5.685519440034393,5.888941880199425,2242782.2566975835,38759599.66058225,202442.28409308856,271287
2014,female,4.810153427949213,4.716593724320789,4.905473462570489,1770127.3923384168,36799811.45826159,197226.0379498243,263214
2014,male,5.477607473914017,5.378147808532293,5.578798030840919,2124352.1318990835,38782481.98717917,197617.94248744857,267136
2015,female,5.2901960764747,5.192760319763214,5.389356166945704,1971680.9614733334,37270470.375215836,199204.54230749275,268451
2015,male,5.812051434282776,5.710452490934962,5.915344597683793,2295282.3239126666,39491775.836218335,200378.8472776694,272711
2016,female,5.3051488806467235,5.207561650141058,5.404460586473162,1981685.43221775,37354002.24953108,199121.57135960486,267939
2016,male,5.727279711409793,5.625955435639261,5.830316114142287,2266780.8734838334,39578665.399700835,198663.47194390814,272328
2017,female,5.04177896974694,4.9476033073681265,5.137650337308094,1877712.6223191668,37243057.13491867,203693.30653397864,273785
2017,male,5.337593136224101,5.241501364266578,5.435345498781071,2103871.2574680834,39416103.92125908,206632.03478589194,278991
2018,female,4.700940252496083,4.6090422296002,4.794578499900046,1754230.0910635,37316579.17013617,199986.98941192092,271707
2018,male,4.8806215977956064,4.787861279362885,4.97508515481833,1918721.6002180835,39313058.01467375,203519.2998847419,276097
2019,female,4.413140757267975,4.321599180598379,4.506530067086642,1632266.2652756667,36986499.07296742,189547.3852796014,259563
2019,male,4.77110401972337,4.676581532841253,4.867439429937856,1855667.9197860002,38893889.38314517,191669.94673882076,263379
2020,female,5.705676903699155,5.602442359286224,5.810696624974527,2104101.99585525,36877342.186885834,190626.92655608585,261509
2020,male,5.821522592534648,5.71710412765452,5.927728275488278,2246461.479353667,38588899.10063158,189911.20499008452,262248
2021,female,4.892180542810502,4.795914120333265,4.990277996277066,1813901.1472613334,37077559.411151,189266.39148224756,261429
2021,male,4.775979638680082,4.681205956776417,4.872573983889937,1857459.0719086668,38891687.411423,190834.53193355436,264312
2022,female,4.0315941500385675,3.9434285115945995,4.121646381342878,1493967.281169068,37056489.95335446,187196.843795075,260668
2022,male,3.8742294990839565,3.7874862787859307,3.9628775357511214,1494520.2440779041,38575934.761512615,186040.59917379904,261194
2023,female,3.269354741487608,3.189823603161384,3.350800178037721,1214933.400707279,37161259.538157836,187546.71590451789,260532
2023,male,3.0497622273838396,2.9727213825635834,3.1287352757312576,1185608.6020366768,38875443.84250968,186681.8802987642,262380
