year,settlement_type,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2010,rural,10.633245825182195,10.468724409792827,10.800040889451386,1946782.70900975,18308452.010008834,133020.88932439673,191210
2010,urban,6.292494740609392,6.205661098819492,6.380460761221328,3597382.8748060833,57169422.03526892,296541.0573723892,355524
2011,rural,9.553543719534371,9.39662527353542,9.712801700964512,1752589.8808483335,18344919.249856666,132820.3031752904,192665
2011,urban,5.519038736184789,5.436265002860496,5.602998124195188,3169809.8746065,57434093.61895025,288228.10836958274,351267
2012,rural,8.505594804720428,8.356264956169015,8.657341144146397,1539549.53179325,18100433.504530832,131922.209266244,191936
2012,urban,4.500358757276964,4.425360477446303,4.576567199007902,2591110.462717,57575642.35356217,288858.33169355243,352627
2013,rural,8.268132363133612,8.119880197380688,8.418843287766627,1504138.33635625,18191996.333573252,130396.29849447795,191291
2013,urban,4.591320519613067,4.514888009339043,4.668983685638561,2636499.7759061665,57423561.797605835,283480.1013377098,347368
2014,rural,7.833755130450355,7.687549675349535,7.982500743841291,1413752.9137106666,18046937.773371417,127531.43374055398,188674
2014,urban,4.31165599230163,4.2367300995895,4.387846223886383,2480726.610526833,57535355.67206933,277627.25237491704,341676
2015,rural,7.879409716591894,7.733380482212827,8.027956495116813,1449348.6069396667,18394126.705808084,128537.70832383297,191871
2015,urban,4.827317895987285,4.74868204434212,4.9071888331803555,2817614.6784463334,58368119.50562608,280995.31429554475,349291
2016,rural,7.8902942889781436,7.743565311508897,8.03956127606443,1443706.7907385833,18297248.97277,127468.25270043817,190898
2016,urban,4.783387887855088,4.704999090781167,4.863016053277261,2804759.514963,58635418.67646192,280296.6094690073,349369
2017,rural,7.940395703256151,7.794337550867067,8.088950732305761,1436319.86522675,18088769.362435583,129414.0352628979,192391
2017,urban,4.345649637908164,4.272138702144215,4.420367071727501,2545264.0145605,58570391.69374217,290720.7164774186,360385
2018,rural,7.209947784926493,7.067199012919261,7.355351698926747,1296467.6727905835,17981651.344286416,123813.43381436638,189427
2018,urban,4.052115318935541,3.9807056375893635,4.124750985800587,2376484.018491,58647985.8405235,287939.04886675504,358377
2019,rural,6.801277877695624,6.657876263372523,6.9475382751350345,1197449.9340866667,17606249.23168675,116091.78761678573,179135
2019,urban,3.930532962750198,3.858284913454809,4.004077543817063,2290484.250975,58274139.22442584,272992.1072841626,343807
2020,rural,7.785236796752598,7.634038032217849,7.939172786181603,1358696.9297799168,17452223.551461667,118485.70962710858,179692
2020,urban,5.157144190635073,5.074560394158961,5.240997759137364,2991866.545429,58014017.736055754,271323.57864868623,344065
2021,rural,6.8034628113870355,6.661570441794029,6.948152524715759,1194092.0048494167,17551238.802258916,118635.64977568365,180569
2021,urban,4.240590013714784,4.165366402882086,4.317110914073198,2477268.2143205833,58418008.02031509,270996.40272289386,345172
2022,rural,5.38415940403397,5.254903258466221,5.516409781519981,943421.6704669889,17522171.98027513,114476.2115756747,178875
2022,urban,3.519285768933843,3.450043956499871,3.589865583123407,2045065.8547799834,58110252.734591946,266892.2951551225,342987
2023,rural,4.735297446679303,4.614141241728215,4.859472849847333,832083.3736811193,17571934.66832015,115180.70648766932,178748
2023,urban,2.682741527260312,2.6221866874542035,2.744655360711692,1568458.6290628368,58464768.712347366,267498.9545455559,344164
